,party,result,council,region
1645,Народна Партія,7.69,Красноокнянська районна рада,Одеська обл.
1656,Радикальна партія Олега Ляшка,11.76,Любашівська районна рада,Одеська обл.
1657,"Політична партія ""Наш край""",7.69,Красноокнянська районна рада,Одеська обл.
1658,"Політична партія ""Нова держава""",3.85,Красноокнянська районна рада,Одеська обл.
1659,"Політична Партія ""Опозиційний блок""",38.24,Котовська районна рада,Одеська обл.
1660,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Котовська районна рада,Одеська обл.
1661,"Партія ""Відродження""",14.71,Котовська районна рада,Одеська обл.
1662,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Котовська районна рада,Одеська обл.
1663,"Політична партія ""Наш край""",5.88,Котовська районна рада,Одеська обл.
1664,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",27.78,Комінтернівська районна рада,Одеська обл.
1665,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Кодимська районна рада,Одеська обл.
1666,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",32.35,Кілійська районна рада,Одеська обл.
1667,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Котовська районна рада,Одеська обл.
1668,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Ізмаїльська районна рада,Одеська обл.
1669,"Політична Партія ""Опозиційний блок""",19.44,Комінтернівська районна рада,Одеська обл.
1670,Радикальна партія Олега Ляшка,13.89,Комінтернівська районна рада,Одеська обл.
1671,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Комінтернівська районна рада,Одеська обл.
1672,"Партія ""Відродження""",11.11,Комінтернівська районна рада,Одеська обл.
1673,"Політична партія ""ДОВІРЯЙ ДІЛАМ""",8.33,Комінтернівська районна рада,Одеська обл.
1674,Народна Партія,8.33,Комінтернівська районна рада,Одеська обл.
1675,"Політична Партія ""Опозиційний блок""",26.47,Кодимська районна рада,Одеська обл.
1676,"Партія ""Відродження""",17.65,Кодимська районна рада,Одеська обл.
1677,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Кодимська районна рада,Одеська обл.
1678,Народна Партія,8.82,Кодимська районна рада,Одеська обл.
1679,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Іванівська районна рада,Одеська обл.
1680,"Політична партія ""Громадянська позиція""",35.29,Великомихайлівська районна рада,Одеська обл.
1681,"Політична партія ""КОНКРЕТНИХ СПРАВ""",17.65,Кілійська районна рада,Одеська обл.
1682,"Політична партія ""Наш край""",14.71,Кілійська районна рада,Одеська обл.
1683,"Партія Сергія Тігіпка ""Сильна Україна""",11.76,Кілійська районна рада,Одеська обл.
1684,"Політична Партія ""Опозиційний блок""",11.76,Кілійська районна рада,Одеська обл.
1685,"Політична партія ""Наш край""",30.56,Болградська районна рада,Одеська обл.
1686,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Ізмаїльська районна рада,Одеська обл.
1687,Аграрна партія України,17.65,Ізмаїльська районна рада,Одеська обл.
1688,"Політична Партія ""Опозиційний блок""",17.65,Ізмаїльська районна рада,Одеська обл.
1689,"Політична партія ""Наш край""",14.71,Ізмаїльська районна рада,Одеська обл.
1690,"Партія ""Відродження""",5.88,Ізмаїльська районна рада,Одеська обл.
1691,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Іванівська районна рада,Одеська обл.
1692,Аграрна партія України,14.71,Іванівська районна рада,Одеська обл.
