party,result,council,region
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Добропільська районна рада,Донецька обл.
"Політична партія ""Наш край""",19.23,Добропільська районна рада,Донецька обл.
Аграрна партія України,15.38,Добропільська районна рада,Донецька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Добропільська районна рада,Донецька обл.
"Партія Сергія Тігіпка ""Сильна Україна""",7.69,Добропільська районна рада,Донецька обл.
"Політична Партія ""Опозиційний блок""",38.46,Олександрівська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",7.69,Олександрівська районна рада,Донецька обл.
"Політична партія ""Наш край""",36.11,Мар'їнська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.11,Мар'їнська районна рада,Донецька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Мар'їнська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.24,Красноармійська районна рада,Донецька обл.
Аграрна партія України,11.76,Красноармійська районна рада,Донецька обл.
"Політична партія ""Нова держава""",5.88,Красноармійська районна рада,Донецька обл.
"Політична партія ""Наш край""",26.92,Костянтинівська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Костянтинівська районна рада,Донецька обл.
Аграрна партія України,15.38,Костянтинівська районна рада,Донецька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Апостолівська районна рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Апостолівська районна рада,Дніпропетровська обл.
"Політична партія ""Наш край""",50.0,Великоновосілківська районна рада,Донецька обл.
"Політична Партія ""Опозиційний блок""",69.44,Артемівська районна рада,Донецька обл.
"""КМКС"" Партія угорців України",22.22,Ужгородська районна рада,Закарпатська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",23.53,Великоновосілківська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Великоновосілківська районна рада,Донецька обл.
"Політична Партія ""Опозиційний блок""",5.88,Великоновосілківська районна рада,Донецька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.88,Великоновосілківська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Артемівська районна рада,Донецька обл.
"Політична партія ""Наш край""",13.89,Артемівська районна рада,Донецька обл.
політична партія Єдиний Центр,19.44,Ужгородська районна рада,Закарпатська обл.
"Партія ""Відродження""",16.67,Ужгородська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Ужгородська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,11.11,Ужгородська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",41.18,Володарська районна рада,Донецька обл.
"Політична партія ""Наш край""",36.36,Волноваська районна рада,Донецька обл.
політична партія Єдиний Центр,33.33,Хустська районна рада,Закарпатська обл.
політична партія Єдиний Центр,35.71,Тячівська районна рада,Закарпатська обл.
політична партія Єдиний Центр,23.53,Свалявська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",11.11,Ужгородська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Ужгородська районна рада,Закарпатська обл.
Аграрна партія України,26.47,Володарська районна рада,Донецька обл.
"Політична партія ""Наш край""",17.65,Володарська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Володарська районна рада,Донецька обл.
Аграрна партія України,29.55,Волноваська районна рада,Донецька обл.
"Політична Партія ""Опозиційний блок""",18.18,Волноваська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.91,Волноваська районна рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",27.78,Хустська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,16.67,Хустська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",11.11,Хустська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Хустська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Тячівська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",21.43,Тячівська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",7.14,Тячівська районна рада,Закарпатська обл.
"Партія ""Відродження""",7.14,Тячівська районна рада,Закарпатська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.14,Тячівська районна рада,Закарпатська обл.
"Партія ""Відродження""",23.53,Свалявська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",23.53,Свалявська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Свалявська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Свалявська районна рада,Закарпатська обл.
політична партія Єдиний Центр,33.33,Іршавська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Іршавська районна рада,Закарпатська обл.
"Партія ""Відродження""",13.89,Іршавська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Іршавська районна рада,Закарпатська обл.
"Українська партія ""Єдність""",8.33,Іршавська районна рада,Закарпатська обл.
"Політична партія ""КОНКРЕТНИХ СПРАВ""",8.33,Іршавська районна рада,Закарпатська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Іршавська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Рахівська районна рада,Закарпатська обл.
"Партія ""Відродження""",29.41,Перечинська районна рада,Закарпатська обл.
політична партія Єдиний Центр,19.44,Рахівська районна рада,Закарпатська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Рахівська районна рада,Закарпатська обл.
"Партія ""Відродження""",13.89,Рахівська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,8.33,Рахівська районна рада,Закарпатська обл.
"Політична партія ""Європейська партія України""",5.56,Рахівська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Рахівська районна рада,Закарпатська обл.
"Партія ""Відродження""",38.46,Воловецька районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Перечинська районна рада,Закарпатська обл.
політична партія Єдиний Центр,17.65,Перечинська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",8.82,Перечинська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Перечинська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,5.88,Перечинська районна рада,Закарпатська обл.
політична партія Єдиний Центр,46.15,Мукачівська районна рада,Закарпатська обл.
Аграрна партія України,29.41,Великоберезнянська районна рада,Закарпатська обл.
"Політична партія ""Наш край""",5.56,Рахівська районна рада,Закарпатська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.56,Рахівська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Воловецька районна рада,Закарпатська обл.
політична партія Єдиний Центр,15.38,Воловецька районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",11.54,Воловецька районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Воловецька районна рада,Закарпатська обл.
"Політична партія ""Наш край""",7.69,Воловецька районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Міжгірська районна рада,Закарпатська обл.
політична партія Єдиний Центр,25.0,Виноградівська районна рада,Закарпатська обл.
"Партія ""Відродження""",20.51,Мукачівська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Мукачівська районна рада,Закарпатська обл.
"""КМКС"" Партія угорців України",10.26,Мукачівська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",7.69,Мукачівська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Великоберезнянська районна рада,Закарпатська обл.
політична партія Єдиний Центр,23.53,Великоберезнянська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,8.82,Великоберезнянська районна рада,Закарпатська обл.
"Політична Партія ""Опозиційний блок""",8.82,Великоберезнянська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Міжгірська районна рада,Закарпатська обл.
політична партія Єдиний Центр,17.65,Міжгірська районна рада,Закарпатська обл.
"Політична партія ""Наш край""",14.71,Міжгірська районна рада,Закарпатська обл.
Радикальна партія Олега Ляшка,11.76,Міжгірська районна рада,Закарпатська обл.
"Партія ""Відродження""",8.82,Міжгірська районна рада,Закарпатська обл.
"Партія ""Відродження""",22.22,Виноградівська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Виноградівська районна рада,Закарпатська обл.
"""КМКС"" Партія угорців України",19.44,Виноградівська районна рада,Закарпатська обл.
Демократична партія угорців України,11.11,Виноградівська районна рада,Закарпатська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Міжгірська районна рада,Закарпатська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",27.78,Богородчанська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.44,Богородчанська районна рада,Івано-Франківська обл.
"Політична партія ""Воля""",16.67,Богородчанська районна рада,Івано-Франківська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",13.89,Богородчанська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Богородчанська районна рада,Івано-Франківська обл.
"""КМКС"" Партія угорців України",35.29,Берегівська районна рада,Закарпатська обл.
політична партія Конгрес Українських Націоналістів,20.59,Калуська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Долинська районна рада,Івано-Франківська обл.
"Політична партія ""Громадянська позиція""",8.33,Богородчанська районна рада,Івано-Франківська обл.
політична партія Єдиний Центр,23.53,Берегівська районна рада,Закарпатська обл.
Демократична партія угорців України,20.59,Берегівська районна рада,Закарпатська обл.
"Партія ""Відродження""",11.76,Берегівська районна рада,Закарпатська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Берегівська районна рада,Закарпатська обл.
Українська Народна Партія,14.71,Калуська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Калуська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Калуська районна рада,Івано-Франківська обл.
Українська партія,11.76,Калуська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Городенківська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Долинська районна рада,Івано-Франківська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",13.89,Долинська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Долинська районна рада,Івано-Франківська обл.
Українська республіканська партія ,11.11,Долинська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",42.5,Галицька районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Шаргородська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Верховинська районна рада,Івано-Франківська обл.
"Політична партія ""АВТО-МАЙДАН""",8.82,Калуська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Калуська районна рада,Івано-Франківська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Калуська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",17.65,Городенківська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Городенківська районна рада,Івано-Франківська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Городенківська районна рада,Івано-Франківська обл.
політична партія Конгрес Українських Націоналістів,8.82,Городенківська районна рада,Івано-Франківська обл.
Радикальна партія Олега Ляшка,8.82,Городенківська районна рада,Івано-Франківська обл.
політична партія Народний Рух України,8.33,Долинська районна рада,Івано-Франківська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Долинська районна рада,Івано-Франківська обл.
Українська Народна Партія,8.33,Долинська районна рада,Івано-Франківська обл.
політична партія Конгрес Українських Націоналістів,5.56,Долинська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",27.5,Галицька районна рада,Івано-Франківська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",12.5,Галицька районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",10.0,Галицька районна рада,Івано-Франківська обл.
"Політична партія ""Громадянська позиція""",7.5,Галицька районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Шаргородська районна рада,Вінницька обл.
Аграрна партія України,14.71,Шаргородська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,11.76,Шаргородська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Шаргородська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Шаргородська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Верховинська районна рада,Івано-Франківська обл.
Українська Народна Партія,11.76,Верховинська районна рада,Івано-Франківська обл.
"Політична партія ""Воля""",11.76,Верховинська районна рада,Івано-Франківська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Верховинська районна рада,Івано-Франківська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Городенківська районна рада,Івано-Франківська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Шаргородська районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",5.88,Шаргородська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Верховинська районна рада,Івано-Франківська обл.
політична партія Народний Рух України,5.88,Верховинська районна рада,Івано-Франківська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",30.77,Чечельницька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.08,Чечельницька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",15.38,Чечельницька районна рада,Вінницька обл.
Аграрна партія України,15.38,Чечельницька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,7.69,Чечельницька районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",7.69,Чечельницька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",30.77,Чернівецька районна рада,Вінницька обл.
Аграрна партія України,26.92,Чернівецька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Чернівецька районна рада,Вінницька обл.
Народна Партія,11.54,Чернівецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,7.69,Чернівецька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",3.85,Чернівецька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",41.18,Хмільницька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",32.35,Тульчинська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",32.35,Тростянецька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Томашпільська районна рада,Вінницька обл.
Аграрна партія України,17.65,Хмільницька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Хмільницька районна рада,Вінницька обл.
"Політична партія ""Наш край""",8.82,Хмільницька районна рада,Вінницька обл.
"Політична партія ""Європейська партія України""",8.82,Хмільницька районна рада,Вінницька обл.
Аграрна партія України,29.41,Тульчинська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Тульчинська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,17.65,Тульчинська районна рада,Вінницька обл.
Аграрна партія України,26.47,Тростянецька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Тростянецька районна рада,Вінницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Тростянецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,5.88,Тростянецька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Тиврівська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Томашпільська районна рада,Вінницька обл.
Аграрна партія України,14.71,Томашпільська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,11.76,Томашпільська районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",11.76,Томашпільська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Томашпільська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",35.29,Теплицька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,5.88,Хмільницька районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Тиврівська районна рада,Вінницька обл.
Аграрна партія України,14.71,Тиврівська районна рада,Вінницька обл.
"Політична партія ""Громадянська позиція""",11.76,Тиврівська районна рада,Вінницька обл.
"Політична партія ""Наш край""",8.82,Тиврівська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,5.88,Тиврівська районна рада,Вінницька обл.
"Політична партія ""Наш край""",5.88,Томашпільська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Теплицька районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",11.76,Теплицька районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Теплицька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,8.82,Теплицька районна рада,Вінницька обл.
Партія промисловців і підприємців України,8.82,Теплицька районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",5.88,Тиврівська районна рада,Вінницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Тиврівська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Тиврівська районна рада,Вінницька обл.
Народна Партія,26.47,Погребищенська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",20.59,Погребищенська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Погребищенська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Погребищенська районна рада,Вінницька обл.
Партія Християнсько-Демократичний Союз,11.76,Погребищенська районна рада,Вінницька обл.
Аграрна партія України,34.62,Піщанська районна рада,Вінницька обл.
"Політична партія ""Наш край""",28.57,Оратівська районна рада,Вінницька обл.
Аграрна партія України,30.23,Немирівська районна рада,Вінницька обл.
Аграрна партія України,11.76,Погребищенська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Піщанська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Піщанська районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",11.54,Піщанська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",38.24,Мурованокуриловецька районна рада,Вінницька обл.
Аграрна партія України,21.43,Оратівська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.86,Оратівська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",32.35,Могилів-Подільська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",18.6,Немирівська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.28,Немирівська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,13.95,Немирівська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Літинська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",29.41,Липовецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,7.69,Піщанська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Піщанська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",26.47,Мурованокуриловецька районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",14.71,Мурованокуриловецька районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Мурованокуриловецька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.86,Оратівська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,7.14,Оратівська районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",7.14,Оратівська районна рада,Вінницька обл.
Аграрна партія України,23.53,Могилів-Подільська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Могилів-Подільська районна рада,Вінницька обл.
"Політична партія ""Наш край""",11.76,Могилів-Подільська районна рада,Вінницька обл.
Партія Християнсько-Демократичний Союз,6.98,Немирівська районна рада,Вінницька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",6.98,Немирівська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",6.98,Немирівська районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Літинська районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,20.59,Літинська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",29.41,Липовецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,14.71,Липовецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,8.82,Мурованокуриловецька районна рада,Вінницька обл.
Радикальна партія Олега Ляшка,8.82,Могилів-Подільська районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",11.76,Літинська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Літинська районна рада,Вінницька обл.
Аграрна партія України,32.35,Крижопільська районна рада,Вінницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Липовецька районна рада,Вінницька обл.
"Політична Партія ""Опозиційний блок""",8.82,Липовецька районна рада,Вінницька обл.
Аграрна партія України,5.88,Липовецька районна рада,Вінницька обл.
Аграрна партія України,23.53,Козятинська районна рада,Вінницька обл.
"Політична партія ""Наш край""",35.29,Калинівська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",35.29,Іллінецька районна рада,Вінницька обл.
"Політична партія ""Наш край""",32.35,Жмеринська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Гайсинська районна рада,Вінницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",30.56,Вінницька районна рада,Вінницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Літинська районна рада,Вінницька обл.
Аграрна партія України,32.35,Бершадська районна рада,Вінницька обл.
