party,result,council,region
"політична партія Всеукраїнське об’єднання ""Батьківщина""",26.47,Малинська міська рада,Житомирська обл.
Народна Партія,11.76,Малинська міська рада,Житомирська обл.
"Політична партія ""Сила людей""",8.82,Малинська міська рада,Житомирська обл.
Партія захисників Вітчизни,5.88,Марганецька міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Марганецька міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",38.46,Вугледарська міська рада,Донецька обл.
"Політична партія ""Наш край""",7.14,Дніпродзержинська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",4.76,Дніпродзержинська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",23.08,Вільногірська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Малинська міська рада,Житомирська обл.
Радикальна партія Олега Ляшка,5.88,Малинська міська рада,Житомирська обл.
"Політична Партія ""Опозиційний блок""",39.06,Дніпропетровська міська рада,Дніпропетровська обл.
"Політична партія ""Наш край""",34.62,Вугледарська міська рада,Донецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.54,Вугледарська міська рада,Донецька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Вільногірська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",15.38,Вільногірська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",32.81,Дніпропетровська міська рада,Дніпропетровська обл.
"Партія ""Громадська сила""",10.94,Дніпропетровська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",9.38,Дніпропетровська міська рада,Дніпропетровська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.81,Дніпропетровська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Вугледарська міська рада,Донецька обл.
Ліберальна партія України,3.85,Вугледарська міська рада,Донецька обл.
"Партія ""Відродження""",11.54,Вільногірська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,11.54,Вільногірська міська рада,Дніпропетровська обл.
"Політична партія ""Сила людей""",7.69,Вільногірська міська рада,Дніпропетровська обл.
"Політична партія ""Партія місцевого самоврядування""",7.69,Вільногірська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",7.69,Вільногірська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",30.77,Новодністровська міська рада,Чернівецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Новодністровська міська рада,Чернівецька обл.
Українська Народна Партія,7.69,Новодністровська міська рада,Чернівецька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",23.81,Хмельницька міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Старокостянтинівська міська рада,Хмельницька обл.
"Політична партія ""Наш край""",28.57,Чернігівська міська рада,Чернігівська обл.
Партія Вільних демократів,19.05,Черкаська міська рада,Черкаська обл.
"Політична партія ""Нова держава""",7.69,Новодністровська міська рада,Чернівецька обл.
"Політична партія ""Сила людей""",7.69,Новодністровська міська рада,Чернівецька обл.
"Політична партія ""Рідне місто""",23.81,Чернівецька міська рада,Чернівецька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",21.43,Хмельницька міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Хмельницька міська рада,Хмельницька обл.
"Політична партія ""Сила людей""",14.71,Старокостянтинівська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Старокостянтинівська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Старокостянтинівська міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Чернігівська міська рада,Чернігівська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Чернігівська міська рада,Чернігівська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.9,Чернігівська міська рада,Чернігівська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.29,Черкаська міська рада,Черкаська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.29,Черкаська міська рада,Черкаська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.9,Черкаська міська рада,Черкаська обл.
Аграрна партія України,7.69,Новодністровська міська рада,Чернівецька обл.
"Політична партія ""Громадянська позиція""",7.69,Новодністровська міська рада,Чернівецька обл.
"Політична партія ""АВТО-МАЙДАН""",7.69,Новодністровська міська рада,Чернівецька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Чернівецька міська рада,Чернівецька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Чернівецька міська рада,Чернівецька обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.29,Чернівецька міська рада,Чернівецька обл.
"Політична партія ""Наш край""",23.08,Новгород-Сіверська міська рада,Чернігівська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",14.29,Хмельницька міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.29,Хмельницька міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",20.59,Шепетівська міська рада,Хмельницька обл.
"Партія ""Відродження""",8.82,Старокостянтинівська міська рада,Хмельницька обл.
"Політична Партія ""Опозиційний блок""",7.14,Чернігівська міська рада,Чернігівська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.9,Черкаська міська рада,Черкаська обл.
"політична партія Всеукраїнське об’єднання ""ЧЕРКАЩАНИ""",11.9,Черкаська міська рада,Черкаська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.9,Чернівецька міська рада,Чернівецька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.9,Чернівецька міська рада,Чернівецька обл.
"Політична Партія ""Опозиційний блок""",19.23,Новгород-Сіверська міська рада,Чернігівська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Новгород-Сіверська міська рада,Чернігівська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",15.38,Новгород-Сіверська міська рада,Чернігівська обл.
"ПОЛІТИЧНА ПАРТІЯ ""ПОРУЧ""",9.52,Хмельницька міська рада,Хмельницька обл.
Аграрна партія України,20.59,Шепетівська міська рада,Хмельницька обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Шепетівська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Шепетівська міська рада,Хмельницька обл.
"Політична Партія ""Опозиційний блок""",8.82,Старокостянтинівська міська рада,Хмельницька обл.
Аграрна партія України,8.82,Старокостянтинівська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",8.82,Старокостянтинівська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.53,Славутська міська рада,Хмельницька обл.
політична партія ДемАльянс (Демократичний альянс),7.14,Чернігівська міська рада,Чернігівська обл.
Радикальна партія Олега Ляшка,7.14,Чернігівська міська рада,Чернігівська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",9.52,Черкаська міська рада,Черкаська обл.
Радикальна партія Олега Ляшка,7.14,Черкаська міська рада,Черкаська обл.
"Політична партія ""Воля""",29.41,Нетішинська міська рада,Хмельницька обл.
