party,result,council
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  37.50,"Львівська обл., Львівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  22.73,"Львівська обл., Моршинська міська рада"
"Політична Партія ""Опозиційний блок""",  50.00,"Запорізька обл., Мелітопольська міська рада"
"Політична Партія ""Опозиційний блок""",  35.29,"Запорізька обл., Енергодарська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  16.67,"Львівська обл., Дрогобицька міська рада"
"Політична партія ""Громадянська позиція""",  13.89,"Львівська обл., Дрогобицька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Львівська обл., Дрогобицька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.89,"Львівська обл., Дрогобицька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Львівська обл., Бориславська міська рада"
Українська республіканська партія ,   5.88,"Львівська обл., Бориславська міська рада"
політична партія Народний Рух України,   5.88,"Львівська обл., Бориславська міська рада"
"Політична партія ""Наш край""",  30.56,"Запорізька обл., Бердянська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.63,"Львівська обл., Львівська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  12.50,"Львівська обл., Львівська міська рада"
"Політична партія ""Громадянська позиція""",  10.94,"Львівська обл., Львівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   9.38,"Львівська обл., Львівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.81,"Львівська обл., Львівська міська рада"
"Політична партія ""Українська Галицька партія""",   6.25,"Львівська обл., Львівська міська рада"
політична партія Республіканська платформа,  18.18,"Львівська обл., Моршинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.64,"Львівська обл., Моршинська міська рада"
"Політична партія ""Сила людей""",  13.64,"Львівська обл., Моршинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  13.64,"Львівська обл., Моршинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.05,"Запорізька обл., Мелітопольська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  14.29,"Запорізька обл., Мелітопольська міська рада"
Партія ветеранів Афганістану,   9.52,"Запорізька обл., Мелітопольська міська рада"
"Політична партія ""Наш край""",   7.14,"Запорізька обл., Мелітопольська міська рада"
"Політична Партія ""Опозиційний блок""",  31.25,"Запорізька обл., Запорізька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Запорізька обл., Енергодарська міська рада"
"Партія Сергія Тігіпка ""Сильна Україна""",  11.76,"Запорізька обл., Енергодарська міська рада"
"Політична партія ""НОВА ПОЛІТИКА""",  11.76,"Запорізька обл., Енергодарська міська рада"
Партія захисників Вітчизни,  11.76,"Запорізька обл., Енергодарська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Запорізька обл., Енергодарська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Запорізька обл., Енергодарська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.11,"Львівська обл., Дрогобицька міська рада"
політична партія Народний Рух України,   5.56,"Львівська обл., Дрогобицька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.56,"Львівська обл., Дрогобицька міська рада"
"Політична Партія ""Опозиційний блок""",  22.22,"Запорізька обл., Бердянська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Запорізька обл., Бердянська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.11,"Запорізька обл., Бердянська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ""",  11.11,"Запорізька обл., Бердянська міська рада"
"Партія ""Відродження""",   5.56,"Запорізька обл., Бердянська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   9.09,"Львівська обл., Моршинська міська рада"
"Політична партія ""Громадянська позиція""",   4.55,"Львівська обл., Моршинська міська рада"
політична партія Народний Рух України,   4.55,"Львівська обл., Моршинська міська рада"
"Політична партія ""НОВА ПОЛІТИКА""",  14.06,"Запорізька обл., Запорізька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.06,"Запорізька обл., Запорізька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  12.50,"Запорізька обл., Запорізька міська рада"
"Політична партія ""Наш край""",   9.38,"Запорізька обл., Запорізька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.38,"Запорізька обл., Запорізька міська рада"
Партія ветеранів Афганістану,   5.56,"Запорізька обл., Бердянська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   9.38,"Запорізька обл., Запорізька міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",  47.06,"Закарпатська обл., Хустська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Закарпатська обл., Хустська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Закарпатська обл., Хустська міська рада"
"""КМКС"" Партія угорців України",   8.82,"Закарпатська обл., Хустська міська рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Закарпатська обл., Хустська міська рада"
Українська Народна Партія,   5.88,"Закарпатська обл., Хустська міська рада"
політична партія Єдиний Центр,   5.88,"Закарпатська обл., Хустська міська рада"
політична партія Єдиний Центр,  30.77,"Закарпатська обл., Чопська міська рада"
Демократична партія угорців України,  46.15,"Закарпатська обл., Берегівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Житомирська обл., Новоград-Волинська міська рада"
"""КМКС"" Партія угорців України",  26.92,"Закарпатська обл., Чопська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.23,"Закарпатська обл., Чопська міська рада"
"Політична партія ""Наш край""",   7.69,"Закарпатська обл., Чопська міська рада"
"Політична Партія ""Опозиційний блок""",   7.69,"Закарпатська обл., Чопська міська рада"
"Партія ""Відродження""",   7.69,"Закарпатська обл., Чопська міська рада"
"Політична партія ""Наш край""",  17.65,"Житомирська обл., Коростенська міська рада"
"Партія ""Відродження""",  19.23,"Закарпатська обл., Берегівська міська рада"
політична партія Єдиний Центр,  19.23,"Закарпатська обл., Берегівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Закарпатська обл., Берегівська міська рада"
Народна Партія,  17.65,"Житомирська обл., Новоград-Волинська міська рада"
Радикальна партія Олега Ляшка,  14.71,"Житомирська обл., Новоград-Волинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Житомирська обл., Новоград-Волинська міська рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Житомирська обл., Новоград-Волинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Житомирська обл., Новоград-Волинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Житомирська обл., Новоград-Волинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  27.78,"Житомирська обл., Бердичівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Волинська обл., Володимир-Волинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  35.71,"Волинська обл., Луцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  17.65,"Житомирська обл., Коростенська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Житомирська обл., Коростенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Житомирська обл., Коростенська міська рада"
"Політична Партія ""Опозиційний блок""",  14.71,"Житомирська обл., Коростенська міська рада"
Українська Народна Партія,   5.88,"Житомирська обл., Новоград-Волинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  16.67,"Житомирська обл., Бердичівська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.89,"Житомирська обл., Бердичівська міська рада"
Радикальна партія Олега Ляшка,  13.89,"Житомирська обл., Бердичівська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Житомирська обл., Бердичівська міська рада"
"Політична Партія ""Опозиційний блок""",   8.33,"Житомирська обл., Бердичівська міська рада"
Патріотична партія України,   5.56,"Житомирська обл., Бердичівська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  20.59,"Волинська обл., Володимир-Волинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.71,"Волинська обл., Володимир-Волинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Волинська обл., Володимир-Волинська міська рада"
"Політична партія ""Наш край""",  11.76,"Волинська обл., Володимир-Волинська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Волинська обл., Володимир-Волинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.05,"Волинська обл., Луцька міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.90,"Волинська обл., Луцька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.52,"Волинська обл., Луцька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   9.52,"Волинська обл., Луцька міська рада"
"Політична партія ""Нова держава""",  11.76,"Житомирська обл., Коростенська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Житомирська обл., Коростенська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.56,"Житомирська обл., Бердичівська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Волинська обл., Володимир-Волинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   7.14,"Волинська обл., Луцька міська рада"
Радикальна партія Олега Ляшка,   7.14,"Волинська обл., Луцька міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",  34.62,"Львівська обл., Новороздільська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.54,"Львівська обл., Новороздільська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Львівська обл., Новороздільська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.54,"Львівська обл., Новороздільська міська рада"
"Політична партія ""Сила людей""",   7.69,"Львівська обл., Новороздільська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   7.69,"Львівська обл., Новороздільська міська рада"
політична партія Народний Рух України,   7.69,"Львівська обл., Новороздільська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Львівська обл., Новороздільська міська рада"
"Політична партія ""Наш край""",  30.77,"Донецька обл., Новогродівська міська рада"
"Політична Партія ""Опозиційний блок""",  50.00,"Донецька обл., Дружківська міська рада"
"Політична Партія ""Опозиційний блок""",  61.11,"Донецька обл., Слов'янська міська рада"
"Політична Партія ""Опозиційний блок""",  47.06,"Донецька обл., Селидівська міська рада"
Партія захисників Вітчизни,  26.92,"Донецька обл., Новогродівська міська рада"
"Політична Партія ""Опозиційний блок""",  23.08,"Донецька обл., Новогродівська міська рада"
політична партія ДемАльянс (Демократичний альянс),  15.38,"Донецька обл., Новогродівська міська рада"
"Політична Партія ""Опозиційний блок""",  57.14,"Донецька обл., Краматорська міська рада"
"Політична партія ""Наш край""",  25.00,"Донецька обл., Дружківська міська рада"
Радикальна партія Олега Ляшка,  11.11,"Донецька обл., Дружківська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.33,"Донецька обл., Дружківська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.11,"Донецька обл., Слов'янська міська рада"
"Політична партія ""Наш край""",  11.11,"Донецька обл., Слов'янська міська рада"
"Політична партія ""Наш край""",  23.53,"Донецька обл., Селидівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Донецька обл., Селидівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Донецька обл., Селидівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   3.85,"Донецька обл., Новогродівська міська рада"
"Політична партія ""Наш край""",  23.81,"Донецька обл., Краматорська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.90,"Донецька обл., Краматорська міська рада"
Партія Пенсіонерів України,   7.14,"Донецька обл., Краматорська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.56,"Донецька обл., Дружківська міська рада"
Аграрна партія України,   8.33,"Донецька обл., Слов'янська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Донецька обл., Слов'янська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Донецька обл., Селидівська міська рада"
"Політична Партія ""Опозиційний блок""",  55.88,"Донецька обл., Добропільська міська рада"
"Політична партія ""Наш край""",  14.71,"Донецька обл., Добропільська міська рада"
"""Жінки за майбутнє"" Всеукраїнське політичне об’єднання",  14.71,"Донецька обл., Добропільська міська рада"
"Політична Партія ""Опозиційний блок""",  64.71,"Донецька обл., Димитровська міська рада"
"Політична Партія ""Опозиційний блок""",  50.00,"Дніпропетровська обл., Павлоградська міська рада"
"Партія ""Відродження""",  35.29,"Дніпропетровська обл., Орджонікідзевська міська рада"
"Політична партія ""Сила людей""",   8.82,"Донецька обл., Добропільська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   5.88,"Донецька обл., Добропільська міська рада"
"Політична Партія ""Опозиційний блок""",  58.82,"Дніпропетровська обл., Тернівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Донецька обл., Димитровська міська рада"
"Політична партія ""Наш край""",   5.88,"Донецька обл., Димитровська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.88,"Донецька обл., Димитровська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  22.22,"Дніпропетровська обл., Павлоградська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.33,"Дніпропетровська обл., Павлоградська міська рада"
"Політична Партія ""Опозиційний блок""",  23.53,"Дніпропетровська обл., Орджонікідзевська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  17.65,"Дніпропетровська обл., Орджонікідзевська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Дніпропетровська обл., Орджонікідзевська міська рада"
"Партія ""Відродження""",  35.29,"Дніпропетровська обл., Синельниківська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.19,"Житомирська обл., Житомирська міська рада"
"Політична Партія ""Опозиційний блок""",  44.12,"Дніпропетровська обл., Першотравенська міська рада"
"Партія ""Відродження""",   8.82,"Дніпропетровська обл., Тернівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Дніпропетровська обл., Тернівська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Дніпропетровська обл., Тернівська міська рада"
"Партія ""Відродження""",   5.88,"Донецька обл., Димитровська міська рада"
"Партія ""Відродження""",   8.33,"Дніпропетровська обл., Павлоградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.56,"Дніпропетровська обл., Павлоградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Дніпропетровська обл., Орджонікідзевська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Дніпропетровська обл., Орджонікідзевська міська рада"
"Політична Партія ""Опозиційний блок""",  26.47,"Дніпропетровська обл., Синельниківська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Дніпропетровська обл., Синельниківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Дніпропетровська обл., Синельниківська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.81,"Житомирська обл., Житомирська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  16.67,"Житомирська обл., Житомирська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  17.65,"Дніпропетровська обл., Першотравенська міська рада"
"Партія ""Відродження""",  14.71,"Дніпропетровська обл., Першотравенська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.76,"Дніпропетровська обл., Першотравенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Дніпропетровська обл., Тернівська міська рада"
"Політична партія ""Громадянська позиція""",   5.88,"Дніпропетровська обл., Тернівська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   5.56,"Дніпропетровська обл., Павлоградська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Дніпропетровська обл., Синельниківська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Дніпропетровська обл., Синельниківська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.90,"Житомирська обл., Житомирська міська рада"
"Політична Партія ""Опозиційний блок""",  11.90,"Житомирська обл., Житомирська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Дніпропетровська обл., Першотравенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.88,"Дніпропетровська обл., Першотравенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   5.88,"Дніпропетровська обл., Тернівська міська рада"
"Політична Партія ""Опозиційний блок""",  36.11,"Дніпропетровська обл., Новомосковська міська рада"
"Партія ""Відродження""",  28.57,"Дніпропетровська обл., Нікопольська міська рада"
"Політична Партія ""Опозиційний блок""",  23.53,"Дніпропетровська обл., Марганецька міська рада"
Радикальна партія Олега Ляшка,   9.52,"Житомирська обл., Житомирська міська рада"
"Політична Партія ""Опозиційний блок""",  45.31,"Дніпропетровська обл., Криворізька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  29.41,"Дніпропетровська обл., Жовтоводська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Дніпропетровська обл., Новомосковська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.11,"Дніпропетровська обл., Новомосковська міська рада"
"Партія ""Відродження""",  11.11,"Дніпропетровська обл., Новомосковська міська рада"
"Політична Партія ""Опозиційний блок""",  26.19,"Дніпропетровська обл., Дніпродзержинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  19.05,"Дніпропетровська обл., Нікопольська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  16.67,"Дніпропетровська обл., Нікопольська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Дніпропетровська обл., Марганецька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.71,"Дніпропетровська обл., Марганецька міська рада"
"Партія ""Відродження""",  11.76,"Дніпропетровська обл., Марганецька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  10.94,"Дніпропетровська обл., Криворізька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  10.94,"Дніпропетровська обл., Криворізька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   9.38,"Дніпропетровська обл., Криворізька міська рада"
"Політична Партія ""Опозиційний блок""",  20.59,"Дніпропетровська обл., Жовтоводська міська рада"
Радикальна партія Олега Ляшка,  14.71,"Дніпропетровська обл., Жовтоводська міська рада"
Партія Зелених України,  11.11,"Дніпропетровська обл., Новомосковська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Дніпропетровська обл., Новомосковська міська рада"
Радикальна партія Олега Ляшка,   5.56,"Дніпропетровська обл., Новомосковська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  14.29,"Дніпропетровська обл., Дніпродзержинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.90,"Дніпропетровська обл., Дніпродзержинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   9.52,"Дніпропетровська обл., Дніпродзержинська міська рада"
"Політична Партія ""Опозиційний блок""",  14.29,"Дніпропетровська обл., Нікопольська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.90,"Дніпропетровська обл., Нікопольська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  38.24,"Житомирська обл., Малинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.76,"Дніпропетровська обл., Марганецька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   5.88,"Дніпропетровська обл., Марганецька міська рада"
Радикальна партія Олега Ляшка,   5.88,"Дніпропетровська обл., Марганецька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.38,"Дніпропетровська обл., Криворізька міська рада"
Радикальна партія Олега Ляшка,   7.81,"Дніпропетровська обл., Криворізька міська рада"
"Політична партія ""Сила людей""",   6.25,"Дніпропетровська обл., Криворізька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Дніпропетровська обл., Жовтоводська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.76,"Дніпропетровська обл., Жовтоводська міська рада"
"Партія ""Відродження""",  11.76,"Дніпропетровська обл., Жовтоводська міська рада"
"Партія ""Відродження""",   9.52,"Дніпропетровська обл., Дніпродзержинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.52,"Дніпропетровська обл., Дніпродзержинська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   7.14,"Дніпропетровська обл., Дніпродзержинська міська рада"
"Партія ""Громадська сила""",   9.52,"Дніпропетровська обл., Нікопольська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  26.47,"Житомирська обл., Малинська міська рада"
Народна Партія,  11.76,"Житомирська обл., Малинська міська рада"
"Політична партія ""Сила людей""",   8.82,"Житомирська обл., Малинська міська рада"
Партія захисників Вітчизни,   5.88,"Дніпропетровська обл., Марганецька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   5.88,"Дніпропетровська обл., Марганецька міська рада"
"Політична Партія ""Опозиційний блок""",  38.46,"Донецька обл., Вугледарська міська рада"
"Політична партія ""Наш край""",   7.14,"Дніпропетровська обл., Дніпродзержинська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   4.76,"Дніпропетровська обл., Дніпродзержинська міська рада"
"Політична Партія ""Опозиційний блок""",  23.08,"Дніпропетровська обл., Вільногірська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Житомирська обл., Малинська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Житомирська обл., Малинська міська рада"
"Політична Партія ""Опозиційний блок""",  39.06,"Дніпропетровська обл., Дніпропетровська міська рада"
"Політична партія ""Наш край""",  34.62,"Донецька обл., Вугледарська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.54,"Донецька обл., Вугледарська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  15.38,"Дніпропетровська обл., Вільногірська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  15.38,"Дніпропетровська обл., Вільногірська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  32.81,"Дніпропетровська обл., Дніпропетровська міська рада"
"Партія ""Громадська сила""",  10.94,"Дніпропетровська обл., Дніпропетровська міська рада"
